DistanceType	StimClass	Comparison	fROI_Criterion	fROI	ID	Distance
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss013	0.446050811390911
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss013	0.774799185916867
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss013	0.688729799038662
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss013	0.337252356574222
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss013	0.462843246009521
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss013	0.544015846756203
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss013	0.586067864677255
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss013	0.41810796242874
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss013	0.414888300798651
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss013	0.430351022891642
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss013	0.363352067212223
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss014	0.221137630556206
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss014	0.158012815576719
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss014	0.20230469672909
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss014	0.114054347113201
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss014	0.154458027319759
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss014	0.283828956728926
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss014	0.341023785746168
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss014	0.358129679639558
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss014	0.191425718281741
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss014	0.167505909979741
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss014	0.261259212726076
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss014	0.35516858590287
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss014	0.13845663392926
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss014	0.127731814921099
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss014	0.367220080831826
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss014	0.236082099754738
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss015	0.422393241276381
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss015	0.493666788145272
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss015	0.678839249639098
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss015	0.504055578901601
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss015	0.407240396058356
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss015	0.403091129321053
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss015	0.444812922846556
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss015	0.247961453780627
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss015	0.300052729678825
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss015	0.248236671965203
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss015	0.208418679395602
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss015	0.656317409424165
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss015	0.475365869752141
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss015	0.376495346329739
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss015	0.332293580891214
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss015	0.339698921581196
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss016	0.296184765676946
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss016	0.182895219103084
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss016	0.156365644587609
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss016	0.225185810391634
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss016	0.244437122301497
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss016	0.230142853707183
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss016	0.127417237121012
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss016	0.382355722875443
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss016	0.237301392993058
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss016	0.186071948641395
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss016	0.169068936393907
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss016	0.241955060773388
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss016	0.115303382634099
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss016	0.14258397104935
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss016	0.135174244152395
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss016	0.140151040993464
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss017	0.205655210226019
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss017	0.340267958926976
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss017	0.238227791377528
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss017	0.414587184996435
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss017	0.260099514629551
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss017	0.145602271188744
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss017	0.207904381742723
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss017	0.258308842088786
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss017	0.323269975081601
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss017	0.403363737613245
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss017	0.207906129704326
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss017	0.312424110086893
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss017	0.13808422879607
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss017	0.269156645010105
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss017	0.271356618425069
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss017	0.244117945647041
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss018	0.174276377689871
